str_no_string|NO STRING!
str_attack_walls_continue|浴 血 的 战 斗 展 现 了 双 方 的 英 勇 。 尽 管 你 的 战 士 很 努 力 ， 城 堡 上 还 是 飘 着 敌 人 的 旗 子 。 
str_order_attack_success|你 的 士 兵 奋 勇 击 退 了 敌 人 。 
str_order_attack_failure|你 看 着 敌 人 砍 翻 了 你 最 后 一 个 战 士 。 
str_order_attack_continue|你 的 士 兵 与 敌 人 遭 遇 ， 却 无 法 将 他 们 击 退 。 
str_join_order_attack_success|你 的 士 兵 和 你 的 盟 军 合 力 打 败 了 敌 人 。 
str_join_order_attack_failure|你 看 着 敌 人 砍 翻 了 你 最 后 一 个 战 士 。 
str_join_order_attack_continue|你 的 士 兵 和 盟 友 一 起 与 敌 厮 杀 ， 却 无 法 将 他 们 杀 光 。 
str_siege_defender_order_attack_success|防 守 方 奋 勇 杀 敌 ， 击 败 了 敌 人 。 
str_siege_defender_order_attack_failure|你 绝 望 的 看 着 围 攻 的 敌 人 杀 死 了 最 后 的 一 个 抵 抗 者 。 
str_siege_defender_order_attack_continue|防 守 方 迎 击 敌 人 ， 但 最 终 还 是 败 下 阵 来 。 
str_hero_taken_prisoner|{s3}的 {s1}被 {s2}俘 虏 。 
str_hero_freed|{s3}的 {s1}被 {s2}成 功 解 救 。 
str_center_captured|{s2}从 {s3}那 里 夺 取 了 {s1}。 
str_troop_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_troop_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_faction_relation_increased|你 与 {s1}的 关 系 从 {reg1}提 升 到 {reg2}。 
str_faction_relation_detoriated|你 与 {s1}的 关 系 从 {reg1}恶 化 为 {reg2}。 
str_party_gained_morale|部 队 的 士 气 加 {reg1}。 
str_party_lost_morale|部 队 的 士 气 减 {reg1}。 
str_other_party_gained_morale|{s1}获 得 {reg1}士 气 。 
str_other_party_lost_morale|{s1}失 去 {reg1}士 气 。 
str_qst_follow_spy_noticed_you|那 个 忍 者 觉 察 到 你 了 ， 他 准 备 开 溜 了 ！ 
str_father|父 亲 
str_husband|丈 夫 
str_wife|正 室 
str_daughter|女 儿 
str_mother|母 亲 
str_son|儿 子 
str_brother|兄 弟 
str_sister|姐 妹 
str_he|他 
str_she|她 
str_s3s_s2|{s3}的 {s2}
str_s5_is_s51|{s5}是 {s51}。 
str_s5_is_the_ruler_of_s51|{s5}是 {s51}的 城 主 。 
str_s5_is_a_nobleman_of_s6|{s5}是 {s6}的 家 臣 。 
str_relation_mnus_100|势 同 水 火 的 
str_relation_mnus_90|势 同 水 火 的 
str_relation_mnus_80|势 同 水 火 的 
str_relation_mnus_70|充 满 敌 意 的 
str_relation_mnus_60|充 满 敌 意 的 
str_relation_mnus_50|狠 狠 地 盯 着 你 的 
str_relation_mnus_40|非 常 讨 厌 你 的 
str_relation_mnus_30|开 始 厌 恶 你 的 
str_relation_mnus_20|警 惕 地 看 着 你 的 
str_relation_mnus_10|意 味 深 长 地 看 着 你 的 
str_relation_plus_0|面 无 表 情 的 看 着 你 的 
str_relation_plus_10|开 始 接 受 你 的 
str_relation_plus_20|友 善 地 看 着 你 的 
str_relation_plus_30|亲 切 地 看 着 你 的 
str_relation_plus_40|热 切 地 望 着 你 的 
str_relation_plus_50|对 你 交 口 称 赞 的 
str_relation_plus_60|非 常 支 持 你 
str_relation_plus_70|非 常 尊 敬 你 
str_relation_plus_80|为 你 欢 呼 
str_relation_plus_90|对 你 忠 心 耿 耿 
str_relation_mnus_100_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_90_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_80_ns|{s60}与 你 势 同 水 火 。 
str_relation_mnus_70_ns|{s60}对 你 充 满 敌 意 。 
str_relation_mnus_60_ns|{s60}对 你 充 满 敌 意 。 
str_relation_mnus_50_ns|{s60}狠 狠 地 盯 着 你 。 
str_relation_mnus_40_ns|{s60}非 常 讨 厌 你 。 
str_relation_mnus_30_ns|{s60}开 始 厌 恶 你 。 
str_relation_mnus_20_ns|{s60}警 惕 地 看 着 你 。 
str_relation_mnus_10_ns|{s60}意 味 深 长 地 看 着 你 。 
str_relation_plus_0_ns|{s60}面 无 表 情 的 看 着 你 。 
str_relation_plus_10_ns|{s60}开 始 接 受 你 。 
str_relation_plus_20_ns|{s60}友 善 地 看 着 你 。 
str_relation_plus_30_ns|{s60}亲 切 地 看 着 你 。 
str_relation_plus_40_ns|{s60}热 切 地 望 着 你 。 
str_relation_plus_50_ns|{s60}友 好 地 望 着 你 。 
str_relation_plus_60_ns|{s60}非 常 支 持 你 。 
str_relation_plus_70_ns|{s60}非 常 尊 敬 你 。 
str_relation_plus_80_ns|{s60}为 你 欢 呼 。 
str_relation_plus_90_ns|{s60}对 你 忠 心 耿 耿 。 
str_relation_reg1|关 系 ， {reg1}
str_center_relation_mnus_100|当 地 居 民 与 你 势 同 水 火 
str_center_relation_mnus_90|当 地 居 民 对 你 恨 之 入 骨 
str_center_relation_mnus_80|当 地 居 民 对 你 怒 视 
str_center_relation_mnus_70|当 地 居 民 对 你 充 满 敌 意 
str_center_relation_mnus_60|当 地 居 民 非 常 憎 恨 你 
str_center_relation_mnus_50|当 地 居 民 狠 狠 地 盯 着 你 
str_center_relation_mnus_40|当 地 居 民 非 常 讨 厌 你 
str_center_relation_mnus_30|当 地 居 民 开 始 厌 恶 你 
str_center_relation_mnus_20|当 地 居 民 警 惕 地 看 着 你 
str_center_relation_mnus_10|当 地 居 民 意 味 深 长 地 看 着 你 
str_center_relation_plus_0|当 地 居 民 面 无 表 情 的 看 着 你 
str_center_relation_plus_10|当 地 居 民 开 始 接 受 你 
str_center_relation_plus_20|当 地 居 民 友 善 地 看 着 你 
str_center_relation_plus_30|当 地 居 民 亲 切 地 看 着 你 
str_center_relation_plus_40|当 地 居 民 热 切 地 望 着 你 
str_center_relation_plus_50|当 地 居 民 对 你 交 口 称 赞 
str_center_relation_plus_60|当 地 居 民 非 常 支 持 你 
str_center_relation_plus_70|当 地 居 民 非 常 尊 敬 你 
str_center_relation_plus_80|当 地 居 民 为 你 欢 呼 
str_center_relation_plus_90|当 地 居 民 对 你 忠 心 耿 耿 
str_town_prosperity_0|{s60}镇 的 贫 穷 到 了 不 可 忍 受 的 地 步 。 
str_town_prosperity_10|{s60}镇 看 起 来 相 当 贫 穷 且 凄 凉 。 
str_town_prosperity_20|{s60}镇 看 起 来 非 常 贫 穷 且 荒 芜 。 
str_town_prosperity_30|{s60}镇 看 起 来 很 贫 穷 且 被 忽 视 。 
str_town_prosperity_40|{s60}镇 看 起 来 有 点 贫 穷 且 在 奋 斗 中 。 
str_town_prosperity_50|{s60}镇 似 乎 很 不 起 眼 。 
str_town_prosperity_60|{s60}镇 似 乎 很 繁 荣 。 
str_town_prosperity_70|{s60}镇 似 乎 非 常 有 活 力 。 
str_town_prosperity_80|{s60}镇 看 起 来 很 富 有 而 且 很 气 派 。 
str_town_prosperity_90|{s60}镇 看 起 来 非 常 富 有 而 且 物 质 丰 富 。 
str_town_prosperity_100|{s60}镇 看 起 来 极 其 富 有 而 且 富 丽 堂 皇 。 
str_village_prosperity_0|{s60}村 的 贫 穷 到 了 不 可 忍 受 的 地 步 。 
str_village_prosperity_10|{s60}村 看 起 来 相 当 贫 穷 且 凄 凉 。 
str_village_prosperity_20|{s60}村 看 起 来 非 常 贫 穷 且 荒 芜 。 
str_village_prosperity_30|{s60}村 看 起 来 很 贫 穷 且 被 忽 视 。 
str_village_prosperity_40|{s60}村 看 起 来 有 点 贫 穷 且 在 奋 斗 中 。 
str_village_prosperity_50|{s60}村 似 乎 很 不 起 眼 。 
str_village_prosperity_60|{s60}村 似 乎 很 繁 荣 。 
str_village_prosperity_70|{s60}村 似 乎 非 常 有 活 力 。 
str_village_prosperity_80|{s60}村 看 起 来 很 富 有 而 且 很 气 派 。 
str_village_prosperity_90|{s60}村 看 起 来 非 常 富 有 而 且 物 质 丰 富 。 
str_village_prosperity_100|{s60}村 看 起 来 极 其 富 有 而 且 物 质 丰 富 。 
str_town_alt_prosperity_0|在 市 场 出 售 的 那 很 少 几 样 东 西 似 乎 可 以 在 这 些 山 区 居 民 以 外 的 地 方 卖 个 好 价 钱 。 这 些 人 营 养 不 良 ， 他 们 的 牲 口 也 病 歪 歪 的 像 要 死 了 一 样 ， 而 且 他 们 交 易 的 工 具 也 都 破 破 烂 烂 的 。 那 些 穷 街 陋 巷 都 遗 弃 给 了 成 堆 的 苍 蝇 和 成 群 的 狗 。 
str_town_alt_prosperity_20|你 听 到 人 们 在 抱 怨 市 场 里 日 用 品 的 价 格 而 且 半 数 东 西 都 缺 货 。 你 看 到 人 和 动 物 们 都 是 营 养 不 良 的 样 子 ， 房 子 和 工 具 都 短 缺 而 且 需 要 修 补 。 可 能 许 多 人 都 迁 到 别 的 地 方 去 找 份 工 作 去 了 。 
str_town_alt_prosperity_40|你 听 到 不 时 有 人 抱 怨 市 场 里 日 用 品 的 价 格 ， 不 过 似 乎 还 算 有 合 理 数 量 的 商 品 在 出 售 。 你 偶 然 看 到 有 遗 弃 的 房 子 ， 商 店 ， 或 者 手 推 车 ， 但 还 算 正 常 。 
str_town_alt_prosperity_60|人 们 看 上 去 营 养 良 好 ， 而 且 对 生 活 比 较 满 足 。 工 匠 们 的 生 意 红 火 ， 还 有 一 些 移 民 从 别 的 地 方 来 这 里 ， 似 乎 是 想 试 试 运 气 的 。 
str_town_alt_prosperity_80|城 墙 ， 街 道 ， 和 住 宅 都 保 养 的 很 好 。 市 场 里 聚 集 着 被 这 里 的 商 品 和 工 作 吸 引 的 附 近 地 区 的 移 民 。 锤 打 声 和 织 布 机 声 此 起 彼 伏 ， 工 匠 们 的 作 坊 里 生 意 热 火 朝 天 。 
str_village_alt_prosperity_0|只 有 一 部 分 人 能 够 有 力 气 下 地 干 活 ， 许 多 田 地 因 此 荒 芜 。 剩 下 的 人 大 多 面 黄 肌 瘦 ， 不 堪 劳 作 ， 或 者 已 经 离 乡 乞 讨 去 了 。 牲 口 们 要 么 已 经 很 久 没 有 喂 过 了 ， 要 么 干 脆 被 吃 掉 了 ， 其 中 的 一 些 残 骸 还 被 丢 在 外 面 的 地 上 ， 它 们 的 骨 头 被 野 兽 竞 相 啃 食 。 
str_village_alt_prosperity_20|有 一 些 人 和 牲 口 在 地 里 干 活 ， 但 是 他 们 数 量 有 限 ， 这 使 得 一 部 分 村 民 不 得 不 背 井 离 乡 ， 另 谋 生 路 。 农 具 大 都 残 破 不 堪 。 一 部 分 边 缘 的 田 地 看 上 去 就 要 被 灌 木 和 杂 草 重 新 占 领 了 。 
str_village_alt_prosperity_40|田 地 和 果 园 里 都 是 一 片 繁 忙 的 景 象 ， 村 民 们 都 按 着 时 节 忙 碌 手 头 的 活 计 。 不 管 是 人 还 是 牲 口 ， 看 上 去 都 健 康 强 壮 。 不 过 ， 还 是 有 一 部 分 田 地 被 抛 荒 了 ， 还 有 一 部 分 围 墙 看 上 去 急 需 修 葺 ， 看 来 这 个 村 子 的 人 手 还 不 是 很 宽 裕 。 
str_village_alt_prosperity_60|田 地 和 果 园 里 都 充 满 了 活 力 ， 随 处 可 见 的 小 麦 口 袋 和 风 干 肉 是 这 个 村 子 农 田 和 牧 园 生 产 能 力 的 最 好 证 明 。 
str_village_alt_prosperity_80|田 地 和 果 园 里 都 充 满 了 活 力 ， 看 上 去 还 很 新 的 水 渠 说 明 这 个 村 子 的 农 民 在 耕 种 之 外 ， 还 有 足 够 的 经 历 和 时 间 来 干 这 些 活 计 。 打 短 工 的 人 聚 集 在 此 ， 帮 忙 干 活 ， 让 村 子 日 益 兴 旺 。 
str_oasis_village_alt_prosperity_0|那 片 棕 榈 树 林 几 乎 被 遗 弃 了 ， 那 些 灌 溉 它 的 水 渠 也 都 被 淤 泥 堵 塞 住 了 。 你 所 见 到 的 那 些 村 民 都 面 黄 肌 瘦 ， 劳 作 不 休 。 牲 口 们 要 么 已 经 很 久 没 有 喂 过 了 ， 要 么 干 脆 被 吃 掉 了 ， 其 中 的 一 些 残 骸 还 被 丢 在 外 面 的 地 上 ， 它 们 的 骨 头 被 沙 漠 里 的 野 兽 竞 相 啃 食 。 
str_oasis_village_alt_prosperity_20|没 有 村 民 可 以 去 照 料 那 片 棕 榈 树 林 ， 在 有 些 地 方 ， 沙 漠 已 经 侵 入 了 园 地 。 许 多 水 渠 都 已 经 被 淤 泥 堵 塞 住 了 ， 水 井 和 储 水 池 都 灌 满 了 沙 子 。 
str_oasis_village_alt_prosperity_40|人 们 都 在 忙 着 照 料 那 片 棕 榈 树 林 ， 爬 上 树 顶 摘 取 果 实 。 健 壮 的 牲 口 拖 着 唧 筒 和 运 水 的 小 车 向 地 里 走 去 。 不 过 ， 有 些 水 渠 和 储 水 池 需 要 进 行 一 些 维 护 了 。 
str_oasis_village_alt_prosperity_60|棕 榈 树 林 和 果 园 里 都 充 满 了 活 力 。 农 民 们 在 树 顶 上 快 乐 的 对 着 彼 此 呼 喊 ， 为 椰 枣 授 粉 。 木 质 唧 筒 的 吱 嘎 声 ， 牲 口 的 叫 声 ， 在 村 民 精 心 维 护 下 的 纵 横 水 渠 让 村 子 显 得 欣 欣 向 荣 。 
str_oasis_village_alt_prosperity_80|棕 榈 树 林 里 充 满 了 活 力 ， 农 民 们 正 在 把 丰 收 的 椰 枣 装 起 来 ， 运 到 市 场 上 去 卖 。 人 们 都 忙 着 挖 掘 新 的 井 和 水 渠 ， 以 开 发 更 多 可 供 灌 溉 的 田 地 。 
str_acres_grain|成 片 的 耕 地 
str_acres_orchard|成 片 的 果 园 和 葡 萄 园 
str_acres_oasis|大 片 灌 溉 良 好 的 田 地 
str_looms|织 布 机 
str_boats|小 船 
str_head_cattle|牛 头 
str_head_sheep|羊 头 
str_mills|磨 房 
str_kilns|烧 窑 
str_pans|平 底 锅 
str_deposits|押 金 
str_hives|蜂 房 
str_breweries|酿 酒 厂 
str_presses|印 刷 机 
str_smithies|铁 匠 铺 
str_caravans|陆 地 商 队 
str_traps|行 李 
str_gardens|小 花 园 
str_tanneries|制 革 桶 
str_master_miller|高 级 磨 坊 工 
str_master_brewer|高 级 酿 酒 工 
str_master_presser|高 级 熨 衣 工 
str_master_smith|高 级 铁 匠 
str_master_tanner|高 级 皮 革 匠 
str_master_weaver|高 级 织 工 
str_master_dyer|高 级 染 匠 
str_war_report_minus_4|我 们 几 乎 要 输 掉 这 场 战 争 了 
str_war_report_minus_3|现 在 的 形 势 看 起 来 有 些 严 峻 
str_war_report_minus_2|战 事 进 展 得 不 太 顺 利 
str_war_report_minus_1|如 果 我 们 能 振 作 起 来 ， 我 们 还 是 可 以 赢 得 这 场 战 争 的 
str_war_report_0|我 们 与 敌 人 势 均 力 敌 
str_war_report_plus_1|我 们 有 一 定 机 会 赢 得 这 场 战 争 
str_war_report_plus_2|战 事 进 展 得 非 常 顺 利 
str_war_report_plus_3|打 败 他 们 完 全 不 成 问 题 
str_war_report_plus_4|我 们 几 乎 要 赢 得 这 场 战 争 了 
str_persuasion_summary_very_bad|你 尽 最 大 努 力 去 说 服 {s50}， 但 是 你 没 有 一 个 论 证 是 正 确 的 。 每 次 你 开 始 想 使 表 达 的 东 西 变 得 有 意 义 ， 但 是 你 说 的 东 西 似 乎 都 是 彻 底 错 误 的 ， 以 至 于 使 你 自 己 的 思 路 都 断 了 。 当 你 结 束 交 涉 的 时 候 ， 你 都 没 能 把 你 认 同 的 某 一 个 观 点 表 达 清 楚 ， 而 且 你 意 识 到 你 所 做 的 一 切 是 在 把 自 己 推 进 一 个 越 挖 越 深 的 大 坑 里 。 毫 不 奇 怪 ， {s50}完 全 不 为 你 动 。 
str_persuasion_summary_bad|你 试 着 说 服 {s50}， 但 是 {reg51?她 :他 }从 最 开 始 起 就 提 防 着 你 。 你 再 好 的 辩 论 对 于 你 自 己 的 耳 朵 而 言 也 还 是 那 么 空 洞 。 {s50}同 样 也 没 能 从 你 说 的 东 西 看 出 什 么 高 见 。 
str_persuasion_summary_average|{s50}被 证 实 是 一 个 有 着 尖 锐 思 想 且 很 能 辩 论 的 人 ， 你 基 本 就 没 有 办 法 使 {reg51?她 :他 }反 过 来 接 受 你 的 任 何 观 点 。 最 终 ， 在 这 场 辩 论 中 ， 你 们 两 人 都 没 能 使 对 方 偏 向 各 自 的 立 场 。 
str_persuasion_summary_good|凭 借 敏 捷 的 思 维 和 流 畅 的 辩 论 ， 你 设 法 把 你 的 观 点 论 证 得 很 好 ， 迫 使 {s50}认 同 你 的 一 些 观 点 。 然 而 {reg51?她 :他 }仍 然 对 你 的 要 求 表 示 怀 疑 。 
str_persuasion_summary_very_good|你 富 有 激 情 的 演 讲 像 诗 歌 一 样 在 听 众 耳 朵 里 回 想 。 整 个 世 界 似 乎 都 安 静 下 来 以 便 更 清 楚 地 听 你 演 讲 。 这 些 激 励 人 心 的 话 语 把 {s50}深 深 打 动 了 ， {reg51?她 :他 }看 起 来 非 常 乐 意 帮 助 你 。 
str_secret_sign_1|大 衣 柜 在 午 夜 的 时 候 跳 起 舞 来 ……
str_secret_sign_2|我 正 在 卖 这 些 舶 来 物 。 你 想 买 一 条 吗 ？ 
str_secret_sign_3|我 的 一 个 朋 友 的 朋 友 送 我 ……
str_secret_sign_4|风 猛 烈 里 从 东 面 吹 来 ， 这 条 河 的 水 变 红 了 ……
str_countersign_1|但 是 他 是 为 梳 妆 台 或 者 烛 台 而 跳 的 吗 ？ 
str_countersign_2|是 的 ， 我 想 买 一 条 ， 你 有 蓝 色 的 吗 ？ 
str_countersign_3|但 是 ， 我 的 朋 友 ， 你 朋 友 的 朋 友 没 有 一 个 朋 友 会 是 像 我 这 样 的 。 
str_countersign_4|你 生 病 了 吗 ？ 
str_name_1|文 郎 
str_name_2|文 雄 
str_name_3|文 一 
str_name_4|枭 
str_name_5|花 猪 
str_name_6|一 户 
str_name_7|犬 松 
str_name_8|贵 
str_name_9|高 明 
str_name_10|大 陆 
str_name_11|日 吉 
str_name_12|胜 之 丸 
str_name_13|里 草 
str_name_14|藤 平 
str_name_15|干 志 
str_name_16|素 史 
str_name_17|元 美 
str_name_18|保 仁 
str_name_19|风 太 郎 
str_name_20|崇 大 
str_name_21|八 吉 
str_name_22|聪 太 
str_name_23|苍 太 
str_name_24|庆 木 
str_name_25|红 叶 
str_surname_1|河 内 的 {s50}
str_surname_2|常 陆 的 {s50}
str_surname_3|下 总 的 {s50}
str_surname_4|若 狭 的 {s50}
str_surname_5|丹 后 的 {s50}
str_surname_6|阿 波 的 {s50}
str_surname_7|丹 波 的 {s50}
str_surname_8|播 磨 的 {s50}
str_surname_9|丰 后 的 {s50}
str_surname_10|丰 前 的 {s50}
str_surname_11|壹 岐 的 {s50}
str_surname_12|对 马 的 {s50}
str_surname_13|佐 渡 的 {s50}
str_surname_14|肥 后 的 {s50}
str_surname_15|肥 前 的 {s50}
str_surname_16|筑 后 的 {s50}
str_surname_17|筑 前 的 {s50}
str_surname_18|日 向 的 {s50}
str_surname_19|大 隅 的 {s50}
str_surname_20|萨 摩 的 {s50}
str_surname_21|纪 伊 的 {s50}
str_surname_22|伊 予 的 {s50}
str_surname_23|土 佐 的 {s50}
str_surname_24|赞 岐 的 {s50}
str_surname_25|播 磨 的 {s50}
str_surname_26|美 作 的 {s50}
str_surname_27|备 前 的 {s50}
str_surname_28|备 中 的 {s50}
str_surname_29|备 后 的 {s50}
str_surname_30|安 艺 的 {s50}
str_surname_31|周 防 的 {s50}
str_surname_32|长 门 的 {s50}
str_surname_33|伯 耆 的 {s50}
str_surname_34|石 见 的 {s50}
str_surname_35|出 云 的 {s50}
str_surname_36|因 幡 的 {s50}
str_surname_37|飞 驒 的 {s50}
str_surname_38|美 浓 的 {s50}
str_surname_39|信 浓 的 {s50}
str_surname_40|上 野 的 {s50}
str_surname_41|陆 奥 的 {s50}
str_surnames_end|surnames end
str_number_of_troops_killed_reg1|杀 敌 数 ， {reg1}
str_number_of_troops_wounded_reg1|伤 敌 数 ， {reg1}
str_number_of_own_troops_killed_reg1|我 方 阵 亡 ， {reg1}
str_number_of_own_troops_wounded_reg1|我 方 受 伤 ， {reg1}
str_retreat|撤 退 ！ 
str_siege_continues|继 续 战 斗 ……
str_casualty_display|我 方 伤 亡 ， {s10}^ 敌 方 伤 亡 ， {s11}^{s12}
str_casualty_display_hp|你 受 到 {reg1}点 伤 害 。 
str_quest_log_updated|任 务 日 志 更 新 ……
str_banner_selection_text|你 被 授 予 携 带 旗 帜 的 权 利 。 旗 帜 是 身 份 与 荣 耀 的 象 征 。 你 想 选 择 哪 种 旗 帜 ？ 
str_retirement_text_1|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 ， 而 你 在 窘 困 中 进 行 了 几 次 令 人 绝 望 的 努 力 企 图 重 新 开 始 自 己 的 冒 险 。 最 后 你 在 {s9}城 里 当 了 个 乞 丐 ， 靠 接 济 和 教 堂 的 施 舍 过 活 。 
str_retirement_text_2|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 。 当 你 的 钱 很 快 地 在 你 的 手 中 消 失 你 被 迫 开 始 了 在 {s9}城 的 后 街 小 巷 里 的 犯 罪 生 涯 ， 用 你 的 那 点 能 耐 靠 打 劫 妇 女 以 及 贫 穷 的 市 民 勉 强 维 持 生 活 。 
str_retirement_text_3|当 你 意 识 到 你 将 入 不 敷 出 的 时 候 已 经 晚 了 。 即 使 精 打 细 算 你 也 很 快 花 光 了 身 上 所 有 的 钱 ， 最 后 作 为 一 个 身 无 分 文 的 流 浪 者 ， 从 一 个 酒 馆 漂 流 到 另 一 个 酒 馆 ， 靠 讲 些 没 人 相 信 的 战 争 故 事 来 讨 口 酒 喝 。 
str_retirement_text_4|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 但 是 你 想 办 法 凑 了 足 够 的 钱 在 {s7}村 庄 的 附 近 买 了 一 小 片 地 。 当 上 了 自 由 农 。 很 快 你 就 吸 引 了 未 来 的 {妻 子 /丈 夫 }。 现 在 你 就 成 了 当 地 的 英 雄 。 你 时 常 在 茶 会 上 得 到 人 们 的 尊 重 ， 而 你 的 冒 险 经 历 在 酒 馆 和 客 栈 一 遍 又 一 遍 地 被 人 们 口 口 相 传 ， 所 以 孩 子 们 将 永 远 记 得 你 的 事 迹 。 
str_retirement_text_5|你 存 下 来 的 钱 并 不 能 维 持 多 久 ， 不 过 还 是 够 用 来 在 {s9}城 买 个 小 酒 馆 。 尽 管 当 地 人 一 开 始 对 你 有 所 提 防 ， 他 们 很 快 就 接 受 容 纳 了 你 。 现 在 你 让 酒 馆 成 了 一 个 受 欢 迎 的 茶 会 和 见 面 场 所 。 人 们 从 数 英 里 以 外 赶 来 吃 饭 和 留 宿 ， 因 为 他 们 都 被 你 绝 对 的 声 望 和 你 所 说 的 那 些 冒 险 岁 月 里 眼 花 缭 乱 的 故 事 迷 住 了 。 
