qstr_Next_Page|下 一 页 
qstr_You_have_retired_at_|你 在 经 过 {reg5}天 的 冒 险 到 达 {reg4}级 的 时 候 决 定 退 休 了 。 
qstr_Effect_on_Score|得 分 影 响 
qstr_Settlements_owned_by|你 的 领 地 数 ， {reg0}
qstr_Friendly_Settlements|友 军 领 地 数 ， {reg0}
qstr_Hostile_Settlements:|敌 军 领 地 数 ， {reg0}
qstr_Friendly_Lords:_{reg|友 军 领 主 ， {reg0}
qstr_Enemy_Lords:_{reg0}|敌 军 领 主 ， {reg0}
qstr_Victories:_{reg0}|胜 利 ， {reg0}
qstr_Defeats:_{reg0}|失 败 ， {reg0}
qstr_Quests_Completed:_{r|任 务 完 成 ， {reg0}
qstr_Companions_Found:_{r|同 伴 加 入 人 数 ， {reg0}
qstr_Companions_Lost/Depa|同 伴 失 散 人 数 ， {reg0}
qstr_Wealth:_{reg0}_mon|财 富 : {reg0} 文 
qstr_Inventory:_{reg0}_mo|总 结 : {reg0} 文 
qstr_Renown:_{reg0}|声 望 ， {reg0}
qstr_Experience:_{reg0}|经 验 ， {reg0}
qstr_Days_Passed:_{reg0}|天 数 ， {reg0}
qstr_Difficulty:_{reg0}%|难 度 ， {reg0}%
qstr_TOTAL_SCORE:_{reg0}|总 分 数 ， {reg0}
qstr_{s0}__{s50}_|{s0} ({s50})
qstr_None|无 
qstr_{s55}__{reg0}%_|{s55} ({reg0}%)
qstr_{s55}|{s55}
qstr_Staff:|下 属 :
qstr_You_paid_{reg0}_cash|你 付 了 {reg0} 现 金 来 清 算 债 务 。 
qstr_Earlier_cash:|早 先 的 现 金 :
qstr_New_cash:|现 在 的 现 金 :
qstr_Factions|派 系 
qstr_Show_towns|显 示 城 镇 
qstr_Show_castles|显 示 城 堡 
qstr_Show_villages|显 示 村 庄 
qstr_Tip:_move_the_mouse_|提 示 ， 将 鼠 标 移 动 到 黑 色 块 上 以 显 示 其 名 称 。 
qstr_The_World_Map|世 界 地 图 
qstr_Done|完 成 
qstr_Name:_{s1}^Level:_{r|名 字 : {s1}^ 等 级 : {reg1}
qstr_{s1}^HP:_{reg1}/{reg|{s1}^HP: {reg1}/{reg2}
qstr_{s1}|{s1}
qstr_Weapon_upgrade_setti|武 器 升 级 设 定 :
qstr_Apply_to_everyone|适 用 于 每 个 人 
qstr_Upgrade_armor_|升 级 护 甲 
qstr_Upgrade_horse_|升 级 马 匹 
qstr_Select_your_domestic|选 择 你 领 国 政 策 
qstr_Centralization:|集 权 主 义 :
qstr_Aristocracy:|武 家 统 治 :
qstr_Serfdom:|征 召 制 度 :
qstr_Troop_quality:|兵 农 分 离 :
qstr_Mercantilism:|重 商 主 义 :
qstr_High_centralization_|高 度 的 集 权 会 减 少 领 地 内 的 税 收 ， 但 提 高 了 家 臣 们 的 税 收 效 率 。 这 会 影 响 大 名 和 家 臣 之 间 的 关 系 。 
qstr_High_aristocracy_wil|武 家 统 治 会 提 高 武 士 阶 级 的 权 力 ， 改 善 大 名 和 家 臣 之 间 的 关 系 ， 他 们 将 能 够 组 建 更 强 大 的 军 队 ， 但 会 减 少 领 国 贸 易 。 
qstr_High_serfdom_reduces|过 度 的 征 召 制 度 会 减 少 大 名 的 税 收 ， 他 的 家 臣 团 们 可 以 维 持 更 大 的 军 队 ， 但 是 军 队 会 降 低 士 气 。 
qstr_High_troop_quality_i|兵 农 分 离 增 加 部 队 的 战 斗 力 ， 但 军 队 规 模 会 减 少 。 
qstr_Mercantilistic_polic|重 商 主 义 政 策 最 大 限 度 地 提 高 出 口 量 ， 同 时 最 大 限 度 地 减 少 进 口 ， 并 增 加 政 府 对 工 业 的 监 管 。 
qstr_Cancel|取 消 
qstr_Dictate_the_peace_te|决 定 和 平 条 件 
qstr_Select_the_castle_an|选 择 城 堡 和 金 额 ， 并 勾 选 这 些 框 来 激 活 需 求 。 如 果 两 个 框 都 被 勾 选 ， 这 些 要 求 会 被 合 并 。 
qstr_1000_mon|1000 文 
qstr__Faction_Relations_R|派 别 关 系 报 告 
qstr__Prev_|上 一 页 
qstr__Next_|下 一 页 
qstr__Return_to_menu_|返 回 到 菜 单 
qstr_Your_kingdom|你 的 王 国 
qstr_Player^Relation|玩 家 ^ 关 系 
qstr_War|战 争 
qstr_Casus_Belli|开 战 的 原 因 
qstr_Peace|和 平 
qstr_Truce|停 战 
qstr_Alliance|联 盟 
qstr_Defense|防 御 
qstr_Trade|贸 易 
qstr_{reg59?{reg59}_days:|{reg59?{reg59} 天 :}
qstr_{reg61}|{reg61}
qstr_{s9}|{s9}
qstr_Loyal|忠 诚 的 
qstr_Devoted|忠 实 的 
qstr_Fond|喜 欢 的 
qstr_Gracious|亲 切 的 
qstr_Friendly|友 好 的 
qstr_Supportive|支 援 的 
qstr_Favorable|赞 同 的 
qstr_Cooperative|合 作 的 
qstr_Accepting|信 任 的 
qstr_Indifferent|冷 淡 的 
qstr_Suspicious|猜 疑 的 
qstr_Grumbling|抱 怨 的 
qstr_Hostile|敌 对 的 
qstr_Resentful|怨 恨 的 
qstr_Angry|发 怒 的 
qstr_Hateful|憎 恨 的 
qstr_Revengeful|报 复 的 
qstr_Vengeful|复 仇 的 
qstr_{reg1}|{reg1}
qstr_{s3}|{s3}
qstr_{reg61}_{reg58?_{reg|{reg61}{reg58?({reg58}U):}中 心 
qstr_{reg62}_Caravans|{reg62}商 队 
qstr_{reg60}_{reg59?_{reg|{reg60}{reg59?({reg59}P):}领 主 
qstr_How_will_your_male_v|如 何 称 呼 您 的 男 性 家 臣 ？ 
qstr_How_will_your_female|如 何 称 呼 您 的 女 性 家 臣 ？ 
qstr_Use_the_Titles_Enter|使 用 上 面 输 入 的 头 衔 。 
qstr_Use_Default_Titles__|使 用 默 认 头 衔 ( 大 人 /女 士 ) 。 
qstr_Sovereign_color_of_t|{s0} 的 势 力 颜 色 ： 
qstr_Red:|红 色 :
qstr_Green:|绿 色 :
qstr_Blue:|蓝 色 :
qstr__| 
qstr_HTML_code:_{s0}|HTML code: {s0}
qstr_Default|默 认 
qstr_Randomize|随 机 化 
qstr_Sell_items_automatic|离 开 时 自 动 出 售 物 品 ， 
qstr_Price_limit_for_auto|自 动 销 售 的 价 格 限 制 ， 
qstr_Item_types_for_auto_|自 动 销 售 的 商 品 类 型 ， 
qstr_Select_all|全 选 
qstr_Select_invert|选 择 倒 置 
qstr_Buy_food_automatical|离 开 时 自 动 买 食 物 
qstr_*|*
qstr__Courtships_in_progr|求 爱 进 程 
qstr__Known_Lords_by_Rela|已 知 领 主 关 系 
qstr__Character_&_Compani|角 色 和 同 伴 
qstr__Done_|完 成 
qstr_Your_supporters|你 的 支 持 者 
qstr_Uesugi|Nagaoka
qstr_Date|Sendai
qstr_Oda|Tsu
qstr_Mori|Choshu
qstr_Takeda|Matsudaira
qstr_Tokugawa|德 川 
qstr_Miyoshi|Tokushima
qstr_Amako|Ikeda
qstr_Otomo|Hosokawa
qstr_Nanbu|Hirosaki
qstr_Asakura|Hikone
qstr_Chosokabe|Tosa
qstr_Hojo|Edo
qstr_Mogami|Kubota
qstr_Shimazu|Satsuma
qstr_Ryuzoji|Saga
qstr_Satake|Mito
qstr_Satomi|Jozai
qstr_Urakami|Sakai
qstr_Ikko_Ikki|Kaga
qstr_All_Factions|所 有 派 系 
qstr_Ito|Nobeoka
qstr_Imagawa|Nanbu
qstr_Ashikaga|Imperial Court
qstr_Saito|Ogaki
qstr_Akamatsu|Fukuoka
qstr__List_of_active_Lord|活 跃 的 领 主 和 女 士 名 单 
qstr__Talk_|谈 论 
qstr_F5___Weapon_orders|F5 - 武 器 命 令 
qstr_F6___Shield_orders|F6 - 盾 牌 命 令 
qstr_F7___Skirmish_orders|F7 - 规 避 近 战 命 令 
qstr_F5___One_Handers|F5 - 单 手 武 器 
qstr_F6___Two_Handers|F6 - 双 手 武 器 
qstr_F7___Polearms|F7 - 长 杆 武 器 
qstr_F8___Ranged|F8 - 远 程 武 器 
qstr_F9___Escape_Menu|F9 - 退 出 菜 单 
qstr_F5___Use_Shields|F5 - 使 用 盾 牌 
qstr_F6___No_Shields|F6 - 不 带 盾 牌 
qstr_F7___Free|F7 - 自 由 行 动 
qstr_F5___Skirmish|F5 - 游 击 
qstr_F6___Melee|F6 - 近 战 
qstr_Initial|初 始 
qstr_Movement_1|行 动 1
qstr_Movement_2|行 动 2
qstr_Attack|攻 击 
qstr_Weapon_Type|武 器 类 型 
qstr_Shield|盾 牌 
qstr_Skirmish|散 战 
qstr_Hold_Position|保 持 位 置 
qstr_Back_10|后 退 10步 
qstr_Forward_10|前 进 10步 
qstr_Repeat_x|重 复 x
qstr_Ranged|远 程 
qstr_Polearms|长 柄 
qstr_Two_Handed|双 手 
qstr_One_Handed|单 手 
qstr_No_Shields|不 使 用 盾 
qstr_Use_Shields|用 盾 
qstr_Avoid_Melee|规 避 近 战 
qstr_Turn_to_weapon_order|转 为 武 器 指 令 ...
qstr_Reassess|重 新 评 估 
qstr_Scrap_All|全 部 废 弃 
qstr_Prepare_Orders|准 备 指 令 
qstr_Dispatch_Orders|下 达 指 令 
qstr_...Turn_to_positioni|...转 为 阵 型 指 令 
qstr_Weapons|武 器 
qstr_Armors|甲 胄 
qstr_Others|其 他 
qstr_Outlaws|不 法 之 徒 
qstr_Mercenary|佣 兵 
qstr_Close|关 闭 
qstr_Click_the_center_but|点 击 城 池 按 钮 切 换 阵 营 ^点 击 图 像 显 示 细 节 
qstr_Level:_{reg3}^Health|等 级 {reg3}^生 命 值 {reg4}
qstr_Attributes|属 性 
qstr_STR^AGI^INT^CHA|力 ^敏 ^智 ^魅 
qstr_{reg2}|{reg2}
qstr_{s1}^{reg2}|{s1}^{reg2}
qstr_Skills|技 能 
qstr_Ironflesh^Power_Stri|铁 骨 ^强 击 ^豪 投 ^弓 术 ^觅 食 ^跑 动 ^乘 马 ^流 镝 马 
qstr_Proficiencies|熟 练 度 
qstr_1H_Weapons^2H_Weapon|单 手 武 器 ^双 手 武 器 ^长 杆 武 器 ^弓 箭 ^火 器 ^投 掷 
qstr_Equipments|装 备 
qstr_Done.|完 毕 
qstr_All_fiefs_of_{s10}|{s10}的 所 有 领 地 
qstr_Name|姓 名 
qstr_Lord|领 主 
qstr_Pop|人 口 
qstr_Prosp|繁 荣 度 
qstr_Improvements|在 升 级 的 建 筑 
qstr_{s10}|{s10}
qstr_Unclaimed|无 人 受 领 的 
qstr_{reg11}|{reg11}
qstr_{reg0}:_{s0}|{reg0}: {s0}
qstr_More_centers|更 多 城 池 
qstr_Previous_centers|上 一 个 城 池 
qstr_CURRENT_COMMANDER_S_|当 前 指 挥 官 报 告 ！ 
qstr_Your_Commander:_{s19|你 的 指 挥 官 :{s19}
qstr_Commander_Relation:_|指 挥 官 关 系 :{reg0}
qstr_Enlisted_Faction:_{s|士 兵 阵 营 :{s20}
qstr_Current_Rank:_{s21}|当 前 级 别 :{s21}
qstr_N/A|无 效 
qstr_Experience_to_next_p|下 次 升 级 所 需 经 验 ， {s1}
qstr_Days_in_service:_{re|服 务 天 数 ， {reg20}
qstr_Current_Wage:_{reg23|当 前 工 资 ， {reg23} 月 。 
qstr_Next_Pay/Promotion_d|下 一 个 发 薪 日 /晋 升 日 ， {s25}
qstr_Army_size:_{reg26}|部 队 规 模 ， {reg26}
qstr_Commander_s_Army|指 挥 官 军 队 
qstr__near_{s10}|靠 近 {s10}
qstr_Your_recruiter_who_w|您 被 委 托 向 {s13}招 募 {reg10}新 兵 的 征 兵 官 被 击 败 {s10}！ 
qstr_Your_caravan_sending|您 发 送 {s12}到 {s13}的 商 队 已 被 加 跨 {s10}！ 
qstr_Your_messenger_on_th|您 在 前 往 {s13}的 途 中 的 使 者 已 被 刺 杀 {s10}！ 
qstr_Your_soldiers_patrol|您 在 {s13}巡 逻 的 士 兵 已 被 杀 光 {s10}！ 
qstr_A_scout_trying_to_ga|一 名 试 图 收 集 有 关 {s13}讯 息 的 侦 察 兵 被 杀 {s10}
qstr_{s1}_of_{s3}_was_def|{s3}的 {s1}在 战 场 上 被 击 败 了 ， 但 设 法 逃 离 了 。 
qstr_Nagahama|长 滨 
qstr_Imahama|今 滨 
qstr_Gifu|Gifu
qstr_Inabayama|Inabayama
qstr_{s1}_is_now_a_prison|{s1}现 在 是 {s2}的 囚 犯 
qstr_{s54}_is_a_claimant_|{s54}声 称 应 由 他 担 任 {s56}的 家 督 。 
qstr_nowhere|无 
qstr_{s57}_and_{s58}|{s57}和 {s58}
qstr_{reg3?She:He}|{reg3?她 :他 }
qstr_The_town_of_{s50}|{s50}镇 
qstr_The_village_of_{s50}|{s52}附 近 的 {s50}
qstr_{s51}_belongs_to_{s1|{s51}归 {s2}的 {s1}所 有 。 ^
qstr_{s51}_belongs_to_{s1}|{s51} 属 于 {s2} 的 {s1}, 并 且 是 他 的 本 城 ^
qstr_{s51}_belongs_to_{s1}_|{s51} 属 于 {s2} 的 {s1}, 并 且 是 他 的 家 ^
qstr_{s51}_belongs_to_{s1}_o|{s51} 属 于 {s2} 的 {s1}.^
qstr_{s51}_belongs_to_{s2|{s51}属 于 {s2} ， 但 目 前 无 人 受 领 ^
qstr_{s51}_belongs_to_{s2}|{s51}属 于 {s2}.^
qstr_{s2}Its_market_town_|{s2}他 所 属 的 城 镇 是 {s8}.^
qstr_{s7}_and_{s8}|{s7}和 {s8}
qstr_{s2}It_has_no_villag|{s2}它 没 有 下 属 的 村 庄 。 ^
qstr_{s2}{reg0?Its_villag|{s2}它 {reg0?的 下 属 的 村 庄 是 :的 下 属 的 村 庄 是 }{s8}。 ^
qstr_{s2}Its_prosperity_i|{s2}它 的 繁 荣 度 为 ， {s50}
qstr_noone|无 
qstr_{s9}_and_{s10}|{s9}和 {s10}
qstr_{s5}_has_been_defeat|{s5}被 击 败 了 ！ 
qstr_{s7}_opened_the_gate|{s7}打 开 大 门 
qstr_{s7}_closed_the_gate|{s7}关 闭 大 门 
qstr_+{reg1}_to_party_mor|部 队 士 气 增 加 {reg1}
qstr_Requires_{reg1}_inte|需 要 {reg1}点 智 慧 才 能 读 
qstr_Reading_Progress:_{r|阅 读 进 程 :{reg1}%
qstr_wound_treament|疗 伤 
qstr_trainer|教 练 
qstr_surgery|手 术 
qstr_+1_to_{s1}_while_in_|置 于 物 品 栏 时 加 1 点 {s1}技 能 
qstr_Move_here|移 动 到 这 里 
qstr_View_notes|查 看 记 录 
qstr_Add_custom_note|添 加 自 定 义 笔 记 
qstr_Accompany|伴 随 
qstr_killed|死 亡 
qstr_wounded|受 伤 
qstr_{s0}^TOTAL:_{reg3}__|{s0}^ 总 计 ， {reg3}({s2})
qstr_^None|^ 无 
qstr_nothing|无 
qstr_{reg0}_village{reg1?|{reg0}{reg1?:}
qstr_{reg0}_castle{reg1?s|{reg0}{reg1?:}
qstr_{reg0}_castle{reg1?s:|{reg0}{reg1?:} 以 及 {s0}
qstr_{reg0}_town{reg1?s:}|{reg0}reg1?:}
qstr_{reg0}_town{reg1?s:}_|{reg0}{reg1?:} 以 及 {s0}
qstr_{reg0}_town{reg1?s:}_{|{reg0}{reg1?:}， {s0}
qstr_Your_opponents_are_r|你 的 对 手 已 经 准 备 好 了 。 
qstr_Try_to_destroy_as_ma|你 需 要 在 两 分 半 钟 的 时 间 内 尽 可 能 多 的 摧 毁 目 标 。 
qstr_Stay_behind_the_line|站 在 线 后 射 击 目 标 。 尽 量 不 要 浪 费 任 何 一 发 弹 药 。 
qstr_Battle_Advantage_=_{|战 场 优 势 为 {reg0}。 
qstr_{s9}_wants_you_to_re|{s9}希 望 你 能 够 在 接 到 进 一 步 的 指 令 以 前 跟 着 他 的 部 队 前 进 。 
qstr_Tribune|军 奉 行 
qstr_{s5}_of_the_{s7}_has|{s7}中 的 {s5}已 拥 有 {s4}的 所 有 权 。 
qstr_{s4}_has_been_awarde|{s4}已 被 授 予 给 {s7}中 的 {s5}。 
qstr_pt_in_{s11}|在 {s11}之 据 点 
qstr__Being_Raided_|( 被 掠 夺 中 )
qstr__Looted_|( 已 被 洗 劫 )
qstr__Under_Siege_|( 陷 入 包 围 )
qstr_The_village_of_{s1}_|{s1} 遭 受 了 {s2}的 掠 夺 。 
qstr_{s3}_is_no_longer_un|{s3}不 再 陷 入 包 围 了 。 
qstr_Small_bands_of_enemi|{s1}附 近 发 现 小 股 敌 军 。 
qstr_Enemy_patrols_spotte|{s1}附 近 发 现 敌 军 巡 逻 。 
qstr_Medium_sized_group_o|{s1}附 近 发 现 敌 军 中 等 规 模 部 队 。 
qstr_Significant_group_of|{s1}附 近 发 现 敌 军 大 部 队 。 
qstr_Army_of_enemies_spot|{s1}附 近 发 现 敌 军 集 团 。 
qstr_Large_army_of_enemie|{s1}附 近 发 现 大 规 模 敌 军 集 团 。 
qstr_Great_host_of_enemie|{s1}附 近 发 现 超 大 规 模 敌 军 集 团 。 
qstr_{s0}_collects_{reg0}|{s0}从 {s4}当 前 的 财 富 中 收 集 {reg0}文 钱 ， {reg1}文 钱 
qstr__{s10}_of_{s13}_recr|{s10} of {s13} 在 {s14} 招 募 {s11} {s12}
qstr_{s1}_has_been_besieg|{s1}受 到 {s3}的 {s2}包 围 。 
qstr__{s1}__{s11}:_{s14}|({s1}) {s11}: {s14}
qstr_{s14}__{s21}_|{s14} ({s21})
qstr_{s5}_has_the_greates|{s5}在 {s4}的 领 主 中 得 到 最 大 的 支 持 ， 成 为 下 一 任 总 大 将 ， 但 {s0}推 翻 了 他 们 的 决 定 。 
qstr_{s5}_has_the_greatest|{s5}在 {s4}的 领 主 中 获 得 最 大 的 支 持 以 获 得 {s1}， 但 {s0}推 翻 了 他 们 的 决 定 。 
qstr_{s5}_has_the_greatest_|{s5}在 {s4}的 领 主 中 获 得 最 大 的 支 持 ， 成 为 下 一 位 总 大 将 ， 但 {s0}否 决 了 他 们 的 选 择 。 
qstr_{s5}_has_the_greatest_s|s5}在 {s4}的 领 主 中 获 得 {s1}的 支 持 最 大 ， 但 是 {s0}否 决 了 他 们 的 选 择 。 
qstr_{s1}_is_the_new_stra|{s1}是 {s2}的 新 总 大 将 。 
qstr_You_gained_{reg12}_r|你 获 得 了 {reg12}点 声 望 。 
qstr_You_lose_{reg12}_ren|你 失 去 了 {reg12}点 声 望 。 
qstr_Your_relation_with_{|你 与 {s1}的 关 系 提 升 了 。 
qstr_Your_relation_with_{s|你 与 {s1}的 关 系 恶 化 了 。 
qstr_You_gain_honour.|你 获 得 荣 誉 。 
qstr_You_lose_honour.|你 失 去 荣 誉 。 
qstr_{s1}_has_declared_wa|{s1}已 经 向 {s2}宣 战 。 
qstr_{s0}_is_laying_siege|{s0}围 攻 {s1}。 
qstr_{s0}_is_patrolling_a|{s0}正 在 {s1}周 围 巡 逻 。 
qstr_{s0}_is_raiding_arou|{s0}袭 击 {s1}。 
qstr_{s0}_is_engaging_{s1|{s0}正 在 引 诱 {s1}。 
qstr_{s0}_is_accompanying|{s0}跟 随 {s1}。 
qstr_{s0}_is_screening_th|{s0}正 在 监 视 {s1}的 进 度 。 
qstr_{s0}_is_trading_with|{s0}与 {s1}进 行 交 易 。 
qstr_{s0}_is_retreating_t|{s0}正 在 撤 退 到 {s1}。 
qstr_{s0}_is_visiting_{s1|{s0}正 在 参 观 {s1}。 
qstr_{s1}_and_{s2}_have_m|{s1}与 {s2}已 经 达 成 了 停 战 协 议 。 
qstr_{s2}_{reg3?was:is_cu|{s2}{reg3?曾 :正 }在 {s3}。 
qstr_{s2}_{reg3?was:is}_t|{s2}{reg3?已 经 :正 在 }赶 去 {s3}， 而 {reg4?她 :他 }{reg3? 之 前 :也 许 }在 {s4}{reg3?:附 近 }。 
qstr_{s2}_{reg3?was:is}_tr|{s2} {reg3?之 前 :正 在 }赶 去 {s3}并 且 {reg4?她 :他 } {reg3?之 前 :应 该 }在 {s4}和 {s1}之 间 {reg3?: 现 在 }
qstr_{s2}_{reg3?was:is}_i|{s2}{reg3?:正 } 在 野 外 某 地 ， 而 {reg4?她 :他 } {reg3?之 前 :也 许 } 在 {s3}{reg3?:附 近 }。 
qstr_{s2}_{reg3?was:is}_in|{s2} {reg3?之 前 :正 在 }野 外 然 后 {reg4?她 :他 } {reg3?之 前 :应 该 }在 {s3}和 {s1}之 间 {reg3?: 现 在 }
qstr_{s2}_{reg3?was:is}_b|{s2}{reg3?曾 :正 }被 囚 禁 在 {s3}。 
qstr_{s2}_{reg3?was:has_b|{s2}{reg3?已 :已 经 }被 {reg4?她 的 :他 的 }敌 人 俘 虏 。 
qstr_{reg3?{s2}_s_locatio|{reg3?{s2}的 位 置 不 明 确 :我 不 知 道 {s2}在 哪 里 }。 
qstr_{s6}_has_joined_your|{s6}加 入 了 你 的 部 队 。 
qstr_You_now_owe_{reg2}_m|您 现 在 欠 {s1}{reg2}文 钱 。 
qstr_Renown_value_for_thi|这 场 战 斗 的 声 望 评 估 为 {reg8}点 。 
qstr_You_have_run_into_a_|你 陷 入 了 圈 套 之 中 ！ 
qstr_You_are_attacked_by_|你 被 一 群 强 盗 打 劫 了 ！ 
qstr_Holding|坚 守 中 
qstr_Following|随 行 中 
qstr_Charging|冲 锋 中 
qstr_Advancing|前 进 中 
qstr_Falling_Back|后 退 中 
qstr_Standing_Closer|聚 拢 中 
qstr_Spreading_Out|散 开 中 
qstr_Standing|站 立 中 
qstr_Free|自 由 行 动 中 
qstr_Any_Weapon|任 意 武 器 
qstr_Blunt_Weapons|钝 击 武 器 
qstr_Your_soldiers_patroll|你 巡 逻 {s6}的 战 士 因 为 你 离 开 阵 营 而 解 散 了 ！ 
qstr_{s1}_Rebels|{s1}叛 军 
qstr_Given_by:_{s62}|给 予 人 ， {s62}
qstr_Given_on:_{s60}|开 始 于 ， {s60}
qstr_You_have_{reg0}_days|你 还 有 {reg0}天 来 完 成 这 个 任 务 。 
qstr_This_quest_has_been_|任 务 完 成 。 找 {s59}谈 话 来 结 束 这 个 任 务 。 
qstr_This_quest_has_been_s|任 务 成 功 完 成 。 找 {s59}谈 话 来 索 取 你 的 报 酬 。 
qstr_This_quest_has_faile|任 务 失 败 。 找 {s59}谈 话 来 解 释 情 况 。 
qstr_At_the_time_quest_wa|接 受 任 务 时 ， ^{s1}
qstr_{s5}_has_a_strength_|{s5}的 军 队 共 有 {reg1}人 。 
qstr_The_last_time_you_sa|上 一 次 你 见 到 {reg1?她 :他 }， {s1}
qstr_The_last_time_you_he|上 一 次 你 听 说 到 {reg1?她 :他 }， {s1}
qstr_Current_garrison_con|当 前 的 守 城 部 队 有 {reg5}人 。 ^ 共 有 {reg6}天 的 存 粮 。 
qstr_Very_Poor|非 常 贫 穷 
qstr_Poor|贫 穷 
qstr_Average|一 般 
qstr_Rich|富 有 
qstr_Very_Rich|非 常 富 有 
qstr_Manor|城 砦 
qstr_A_manor_lets_you_res|有 了 一 个 城 砦 ， 你 就 可 以 在 村 子 中 休 息 ， 而 且 在 此 期 间 你 只 用 付 相 当 于 平 时 一 半 的 工 资 给 你 的 部 队 ， ^每 周 增 加 该 地 领 主 声 望 5 点 ^增 加 当 地 收 入 。 
qstr_Mill|稻 田 
qstr_A_mill_increases_vil|扩 建 一 片 稻 田 ， 每 周 提 升 5 点 繁 荣 度 ， ^增 加 当 地 收 入 。 
qstr_Watch_Tower|地 头 武 士 聚 集 地 
qstr_A_watch_tower_lets_t|建 造 一 个 地 头 武 士 聚 集 地 ， 就 可 以 使 一 些 流 离 的 武 士 在 此 安 家 。 如 果 村 庄 受 到 侵 略 ， 地 头 武 士 们 会 更 早 的 发 出 警 报 ， 并 奋 起 抵 抗 。 延 长 敌 人 掠 夺 这 村 子 的 时 间 50%。 
qstr_Shrine|神 社 
qstr_A_Shinto_shrine_incr|神 社 使 村 民 对 您 的 忠 诚 度 每 月 增 加 +1。 
qstr_Messenger_Post|驿 站 
qstr_A_messenger_post_let|有 了 一 个 驿 站 ， 就 可 以 使 村 民 在 村 子 旁 发 现 敌 军 时 向 你 汇 报 ， 不 论 你 离 村 子 有 多 远 ^提 高 当 地 治 安 。 
qstr_Prison_Tower|监 狱 
qstr_A_prison_tower_reduc|有 了 一 个 监 狱 ， 就 可 以 使 被 俘 获 的 领 主 成 功 逃 跑 的 几 率 降 低 。 
qstr_Prosperity_of_{s2}_h|{s2}的 繁 荣 度 从 {s3}变 到 {s4}。 
qstr_{s4}_looks_upset.|{s4}看 起 来 很 失 落 。 
qstr_your_party|你 的 部 队 
qstr_{reg0?One_of_your_pr|{reg0?你 的 一 个 俘 虏 :俘 虏 }{s3}的 {s1}从 监 狱 逃 跑 了 ！ 
qstr_You_brought_{reg3}_h|你 带 了 {reg3}头 牛 去 {s1}。 
qstr_I_heard_that_there_w|我 听 说 在 {s62}将 会 举 办 一 场 武 道 大 会 。 
qstr_I_heard_some_people_|我 听 说 有 人 说 他 们 不 相 信 {s6}真 的 死 了 。 
qstr_I_heard_a_traveller_|我 听 说 有 一 位 旅 行 者 说 他 在 这 些 土 地 上 旅 行 时 遇 到 {s6}。 
qstr_I_heard_that_{s6}_in|我 听 说 {s6}打 算 增 兵 ， 并 从 {s61}手 中 夺 取 霸 主 。 
qstr_I_heard_that_one_can|我 听 说 {s62}在 {s63}卖 得 很 便 宜 。 
qstr_I_heard_that_they_pa|我 听 说 {s62}在 {s63}卖 的 很 贵 。 
qstr_two_days_ago|两 天 之 前 
qstr_The_marshal_is_levyi|总 大 将 从 你 的 中 心 {s10}征 召 {reg0}部 队 。 
qstr_Best_threat_of_{s4}_|最 有 威 胁 的 {s4}价 值 等 级 为 {reg1}
qstr_No_center_found_to_d|没 发 现 防 守 地 点 
qstr_You_gain_right_to_ru|你 获 得 统 治 权 。 
qstr_You_lose_right_to_ru|你 失 去 统 治 权 。 
qstr_{s0}^{s1}|{s0}^{s1}
